S.NO/Digits,Input State,APU,MAIN LG,2XA,22XN,BTC                           Lockout,BUS TIE PB                      10XU ,3XS,4XS,3XG,5XG,SMOKE Config Button    13XU,Gen1 Ready (10J),GEN1 PB ON,GEN2 Ready(10J),GEN2 PB ON
157,15.7,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
158,15.8,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
159,15.9,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
160,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
161,16.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
162,16.2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
163,16.3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
164,16.4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
165,16.5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
166,16.6,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
167,16.7,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
168,16.8,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
169,16.9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
170,17,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
171,17.1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
172,17.2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
173,17.3,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
174,17.4,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
175,17.5,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
176,17.6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
177,17.7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
178,17.8,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
179,17.9,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
180,18,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
181,18.1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
182,18.2,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
183,18.3,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
184,18.4,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
185,18.5,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
186,18.6,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0
187,18.7,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
188,18.8,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
189,18.9,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
190,19,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
191,19.1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
192,19.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
193,19.3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
194,19.4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
195,19.5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
196,19.6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
197,19.7,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
198,19.8,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
199,19.9,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
200,20,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
201,20.1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
202,20.2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
203,20.3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
204,20.4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
205,20.5,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
206,20.6,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
207,20.7,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
208,20.8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
209,20.9,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
210,21,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
211,21.1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
212,21.2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
213,21.3,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
214,21.4,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
215,21.5,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
216,21.6,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
217,21.7,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
218,21.8,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
219,21.9,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
220,22,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
221,22.1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
222,22.2,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
223,22.3,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
224,22.4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
225,22.5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
226,22.6,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
227,22.7,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
228,22.8,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
229,22.9,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
230,23,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
231,23.1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
232,23.2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
233,23.3,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
234,23.4,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
235,23.5,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
236,23.6,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
237,23.7,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
238,23.8,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
239,23.9,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
240,24,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
241,24.1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
242,24.2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
243,24.3,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
244,24.4,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
245,24.5,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
246,24.6,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
247,24.7,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1
248,24.8,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
249,24.9,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
250,25,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
251,25.1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
252,25.2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
253,25.3,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
254,25.4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
255,25.5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
256,25.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
257,25.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
258,25.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
259,25.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
260,26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
